customer_id,signup_date,billing_date,plan,region,payment_success,discount,revenue
C00001,2024-04-12,2024-04-12,Standard,Kano,1,0,8000
C00001,2024-04-12,2024-05-12,Standard,Kano,1,0,8000
C00001,2024-04-12,2024-06-11,Standard,Kano,1,500,7500
C00001,2024-04-12,2024-07-11,Standard,Kano,1,1000,7000
C00001,2024-04-12,2024-08-10,Basic,Kano,1,500,4500
C00001,2024-04-12,2024-09-09,Basic,Kano,1,500,4500
C00001,2024-04-12,2024-10-09,Basic,Kano,1,0,5000
C00001,2024-04-12,2024-11-08,Basic,Kano,1,0,5000
C00001,2024-04-12,2024-12-08,Basic,Kano,1,0,5000
C00002,2024-01-21,2024-01-21,Basic,Lagos,0,2000,0
C00002,2024-01-21,2024-02-20,Basic,Lagos,1,500,4500
C00002,2024-01-21,2024-03-21,Basic,Lagos,1,0,5000
C00002,2024-01-21,2024-04-20,Standard,Lagos,1,0,8000
C00002,2024-01-21,2024-05-20,Standard,Lagos,1,0,8000
C00002,2024-01-21,2024-06-19,Standard,Lagos,1,1000,7000
C00002,2024-01-21,2024-07-19,Standard,Lagos,1,1000,7000
C00002,2024-01-21,2024-08-18,Standard,Lagos,1,0,8000
C00002,2024-01-21,2024-09-17,Standard,Lagos,0,1000,0
C00002,2024-01-21,2024-10-17,Standard,Lagos,1,2000,6000
C00002,2024-01-21,2024-11-16,Standard,Lagos,1,0,8000
C00002,2024-01-21,2024-12-16,Standard,Lagos,1,0,8000
C00003,2024-05-15,2024-05-15,Basic,Kano,1,500,4500
C00003,2024-05-15,2024-06-14,Basic,Kano,1,1000,4000
C00003,2024-05-15,2024-07-14,Basic,Kano,0,1000,0
C00004,2024-03-02,2024-03-02,Basic,Kano,1,0,5000
C00004,2024-03-02,2024-04-01,Basic,Kano,1,2000,3000
C00004,2024-03-02,2024-05-01,Basic,Kano,1,0,5000
C00004,2024-03-02,2024-05-31,Basic,Kano,1,500,4500
C00004,2024-03-02,2024-06-30,Basic,Kano,1,0,5000
C00004,2024-03-02,2024-07-30,Basic,Kano,1,0,5000
C00004,2024-03-02,2024-08-29,Basic,Kano,1,500,4500
C00004,2024-03-02,2024-09-28,Basic,Kano,1,1000,4000
C00004,2024-03-02,2024-10-28,Basic,Kano,1,1000,4000
C00004,2024-03-02,2024-11-27,Basic,Kano,1,0,5000
C00004,2024-03-02,2024-12-27,Basic,Kano,1,0,5000
C00005,2024-05-07,2024-05-07,Premium,Port Harcourt,1,1000,11000
C00005,2024-05-07,2024-06-06,Premium,Port Harcourt,1,0,12000
C00005,2024-05-07,2024-07-06,Premium,Port Harcourt,1,0,12000
C00005,2024-05-07,2024-08-05,Premium,Port Harcourt,1,500,11500
C00005,2024-05-07,2024-09-04,Premium,Port Harcourt,1,0,12000
C00005,2024-05-07,2024-10-04,Premium,Port Harcourt,1,0,12000
C00005,2024-05-07,2024-11-03,Premium,Port Harcourt,1,0,12000
C00005,2024-05-07,2024-12-03,Premium,Port Harcourt,1,0,12000
C00006,2024-07-05,2024-07-05,Standard,Lagos,1,0,8000
C00006,2024-07-05,2024-08-04,Standard,Lagos,1,500,7500
C00006,2024-07-05,2024-09-03,Standard,Lagos,1,0,8000
C00006,2024-07-05,2024-10-03,Standard,Lagos,1,0,8000
C00006,2024-07-05,2024-11-02,Standard,Lagos,1,0,8000
C00006,2024-07-05,2024-12-02,Standard,Lagos,1,1000,7000
